"Investment","Quantity","Price","Value (£)","Cost (£)","Change (£)","Change (%)","Price +/- today (%)","Valuation currency","Market currency","Exchange rate","Date","Time"
"Alphabet Inc Class C (NASDAQ:GOOG)","17","165.51","2,246.26","1,894.16","352.10","18.59","0.57","USD","GBP","1.2526","02-May-24","04:01",""
"GameStop Corp Class A (NYSE:GME)","156","10.915","1,359.36","3,967.49","-2,608.13","-65.74","-1.58","USD","GBP","1.2526","02-May-24","04:01",""
"iShares Core S&P 500 ETF USD Acc GBP (LSE:CSP1)","19","423.28","8,042.32","6,476.59","1,565.73","24.18","0.02","GBP","GBP","1","02-May-24","04:01",""
"Lyxor DJ Industrial Average ETF Dist GBP (LSE:DJEL)","71","305.705","21,705.06","20,477.17","1,227.89","6.00","0.05","GBP","GBP","1","02-May-24","04:01",""
"Meta Platforms Inc Class A (NASDAQ:META)","8","439.18","2,804.92","2,852.94","-48.02","-1.68","2.13","USD","GBP","1.2526","02-May-24","04:01",""
"Vanguard S&P 500 UCITS ETF GBP (LSE:VUSA)","15","76.2525","1,143.79","1,016.60","127.19","12.51","0.03","GBP","GBP","1","02-May-24","04:01",""
"Cash GBP","506.49","1","506.49","506.49","0","0","0","GBP","GBP","1","02-May-24","04:01",""
